system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2005_03_06_00000000000000000025_0,18,2,80,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_03_06_00000000000000000001_0,49,43,8,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_03_06_00000000000000000022_0,49,43,8,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_03_06_00000000000000000011_0,65,7,28,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_03_06_00000000000000000020_0,80,8,12,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2005_03_06_0000000000000000001a_0,84,11,5,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000000b_0,44,1,55,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000010_0,83,1,16,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000019_0,75,0,25,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000000c_0,70,22,8,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000001f_0,54,9,37,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000000d_0,57,38,5,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000002_0,80,14,6,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000001c_0,85,10,5,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000002a_0,72,22,6,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000002b_0,87,9,4,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000029_0,68,29,3,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000015_0,61,38,1,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000009_0,82,14,4,0.5m,2013-09-08 13:30:00,"{""type"":""Point"",""coordinates"":[131.3181,-14.063299999999998]}",DalyPasture,2008-01-01 00:00:00,Tropical improved pasture,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000000f_0,63,19,18,0.5m,2008-10-31 17:30:00,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}",FoggDam,2006-02-07 00:00:00,Ephemeral tropical wetland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000017_0,52,40,8,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.02,-30.543000000000006]}",MyallValeA,2023-11-29 10:00:00,,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000018_0,78,13,9,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.09,-30.697000000000006]}",MyallValeB,2023-11-28 13:30:00,,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000001e_0,81,11,8,0.5m,2017-12-31 14:30:00,"{""type"":""Point"",""coordinates"":[152.87778,-27.388059999999996]}",SamfordEcologicalResearchFacility,2010-06-02 12:00:00,pasture,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000021_0,73,22,5,0.5m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[133.3502,-17.1507]}",SturtPlains,2008-08-28 11:00:00,Mitchell Grasslands,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000026_0,67,28,5,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.9843,-32.5727]}",Wellington,2023-09-27 12:30:00,Pasture,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000024_0,21,1,78,100m,2008-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.1878,-37.4259]}",WallabyCreek,2005-08-25 12:30:00,Mountain Ash,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000006_0,43,6,51,12.0m,2019-11-11 13:30:00,"{""type"":""Point"",""coordinates"":[116.237,-33.42]}",Collie,2017-08-04 00:30:00,Dry schlerophyll woodland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000000e_0,76,20,4,12m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[146.189138,-19.887285]}",Fletcherview,2022-01-22 22:00:00,Semi-arid savanna,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000003_0,52,6,42,13.0m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.93855900000003,-32.477093]}",Boyagin,2017-10-20 13:00:00,Dry schlerophyll woodland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000000_0,79,8,13,16.4m,2009-05-24 06:00:00,"{""type"":""Point"",""coordinates"":[131.1178,-13.076900000000002]}",AdelaideRiver,2007-10-17 11:30:00,Woody Savanna,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000000a_0,71,19,10,16.4m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.3881,-14.159200000000002]}",DalyUncleared,2008-01-01 00:00:00,Woody Savanna,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000013_0,82,6,12,16m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.15005,-12.4952]}",HowardSprings,2002-01-01 06:00:00,Woody savanna,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000014_0,68,16,16,16m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[130.7945459,-13.179041779999999]}",Litchfield,2015-06-23 13:00:00,Woody savanna,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000012_0,68,23,9,18,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[120.65416666666667,-30.191400000000005]}",GreatWesternWoodlands,2013-01-01 15:30:00,sparse eucalypt woodland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000001b_0,58,40,2,1m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.966827,-32.506102]}",Ridgefield,2015-03-29 05:00:00,Wheat,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000028_0,35,1,64,23 m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[144.094046,-37.422506]}",WombatStateForest,2024-05-08 14:30:00,dry sclerophyll eucalypt forest,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000008_0,57,4,39,24 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.723611,-33.615278]}",CumberlandPlain,2014-01-01 00:30:00,Dry sclerophyll forest,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000005_0,26,4,70,25m,2018-11-02 12:00:00,"{""type"":""Point"",""coordinates"":[145.446922,-16.103219]}",CapeTribulation,2010-01-01 00:00:00,lowland complex mesophyll vine forest,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000007_0,30,3,67,26m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.42715,-16.238189000000002]}",CowBay,2009-01-01 09:00:00,lowland complex mesophyll vine forest,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000027_0,51,2,47,28.0m,2023-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}",Whroo,2011-12-01 13:30:00,Dry schlerophyll woodland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000001d_0,20,3,77,28m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.6301375,-17.11746943]}",RobsonCreek,2013-08-01 17:30:00,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest",2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000004_0,67,24,9,3m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[140.5877,-34.002700000000004]}",CalperumChowilla,2010-07-30 11:00:00,Mallee,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000023_0,19,0,81,40 m,2022-12-03 18:00:00,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000016_0,79,7,14,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000025_0,22,1,77,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000001_0,48,42,10,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000022_0,48,42,10,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000011_0,70,12,18,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_00000000000000000020_0,68,14,18,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006_03_06_0000000000000000001a_0,70,22,8,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000000b_0,39,2,59,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000010_0,93,0,7,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000019_0,60,0,40,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000000c_0,72,22,6,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000001f_0,58,5,37,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000000d_0,58,32,10,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000002_0,76,15,9,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000001c_0,91,5,4,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000002a_0,75,9,16,0.5 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.734864,-33.613469]}",YarramundiControl,2019-10-22 15:30:00,"pasture, unirrigated",2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000002b_0,71,7,22,0.5 m,2024-12-29 12:00:00,"{""type"":""Point"",""coordinates"":[150.763284,-33.620812]}",YarramundiIrrigated,2019-10-15 09:30:00,"pasture, irrigated",2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000029_0,71,23,6,0.50,2025-01-28 03:00:00,"{""type"":""Point"",""coordinates"":[146.2908,-34.9878]}",Yanco,2012-10-24 14:00:00,Pasture,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000015_0,44,55,1,0.50m,2024-07-01 00:00:00,"{""type"":""Point"",""coordinates"":[144.31041571964502,-23.52326576449729]}",LongreachMitchellGrassRangeland,2018-10-09 12:00:00,Mitchell Grass,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000009_0,93,2,5,0.5m,2013-09-08 13:30:00,"{""type"":""Point"",""coordinates"":[131.3181,-14.063299999999998]}",DalyPasture,2008-01-01 00:00:00,Tropical improved pasture,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000000f_0,66,14,20,0.5m,2008-10-31 17:30:00,"{""type"":""Point"",""coordinates"":[131.3072,-12.5452]}",FoggDam,2006-02-07 00:00:00,Ephemeral tropical wetland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000017_0,73,21,6,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.02,-30.543000000000006]}",MyallValeA,2023-11-29 10:00:00,,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000018_0,59,29,12,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[150.09,-30.697000000000006]}",MyallValeB,2023-11-28 13:30:00,,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000001e_0,77,12,11,0.5m,2017-12-31 14:30:00,"{""type"":""Point"",""coordinates"":[152.87778,-27.388059999999996]}",SamfordEcologicalResearchFacility,2010-06-02 12:00:00,pasture,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000021_0,79,20,1,0.5m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[133.3502,-17.1507]}",SturtPlains,2008-08-28 11:00:00,Mitchell Grasslands,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000026_0,66,10,24,0.5m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.9843,-32.5727]}",Wellington,2023-09-27 12:30:00,Pasture,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000024_0,24,1,75,100m,2008-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.1878,-37.4259]}",WallabyCreek,2005-08-25 12:30:00,Mountain Ash,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000006_0,46,3,51,12.0m,2019-11-11 13:30:00,"{""type"":""Point"",""coordinates"":[116.237,-33.42]}",Collie,2017-08-04 00:30:00,Dry schlerophyll woodland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000000e_0,80,15,5,12m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[146.189138,-19.887285]}",Fletcherview,2022-01-22 22:00:00,Semi-arid savanna,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000003_0,54,4,42,13.0m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.93855900000003,-32.477093]}",Boyagin,2017-10-20 13:00:00,Dry schlerophyll woodland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000000_0,92,1,7,16.4m,2009-05-24 06:00:00,"{""type"":""Point"",""coordinates"":[131.1178,-13.076900000000002]}",AdelaideRiver,2007-10-17 11:30:00,Woody Savanna,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000000a_0,85,7,8,16.4m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.3881,-14.159200000000002]}",DalyUncleared,2008-01-01 00:00:00,Woody Savanna,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000013_0,65,11,24,16m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.15005,-12.4952]}",HowardSprings,2002-01-01 06:00:00,Woody savanna,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000014_0,75,9,16,16m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[130.7945459,-13.179041779999999]}",Litchfield,2015-06-23 13:00:00,Woody savanna,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000012_0,68,26,6,18,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[120.65416666666667,-30.191400000000005]}",GreatWesternWoodlands,2013-01-01 15:30:00,sparse eucalypt woodland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000001b_0,80,18,2,1m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.966827,-32.506102]}",Ridgefield,2015-03-29 05:00:00,Wheat,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000028_0,21,1,78,23 m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[144.094046,-37.422506]}",WombatStateForest,2024-05-08 14:30:00,dry sclerophyll eucalypt forest,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000008_0,45,5,50,24 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.723611,-33.615278]}",CumberlandPlain,2014-01-01 00:30:00,Dry sclerophyll forest,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000005_0,22,4,74,25m,2018-11-02 12:00:00,"{""type"":""Point"",""coordinates"":[145.446922,-16.103219]}",CapeTribulation,2010-01-01 00:00:00,lowland complex mesophyll vine forest,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000007_0,23,3,74,26m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.42715,-16.238189000000002]}",CowBay,2009-01-01 09:00:00,lowland complex mesophyll vine forest,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000027_0,45,4,51,28.0m,2023-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}",Whroo,2011-12-01 13:30:00,Dry schlerophyll woodland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000001d_0,19,3,78,28m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.6301375,-17.11746943]}",RobsonCreek,2013-08-01 17:30:00,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest",2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000004_0,75,19,6,3m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[140.5877,-34.002700000000004]}",CalperumChowilla,2010-07-30 11:00:00,Mallee,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000023_0,22,0,78,40 m,2022-12-03 18:00:00,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000016_0,85,8,7,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000025_0,27,5,68,55m,2021-09-21 12:00:00,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000001_0,63,32,5,6.5m,2025-01-28 10:00:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000022_0,63,32,5,6.5m,2022-01-17 23:30:00,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000011_0,58,14,28,6.8m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_00000000000000000020_0,69,6,25,8m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2007_03_06_0000000000000000001a_0,74,14,12,variable,2013-07-21 23:30:00,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_0000000000000000000b_0,40,1,59,+6m,2021-07-07 12:00:00,"{""type"":""Point"",""coordinates"":[141.616472,-37.882694]}",DigbyPlantation,2018-01-01 00:30:00,Eucalyptus globulus (blue gum),2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_00000000000000000010_0,92,0,8,0.05m,2021-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[141.960897,-37.390033]}",GatumPasture,2015-02-09 00:30:00,Phalaris and Subterranean Clover,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_00000000000000000019_0,77,1,22,0.1 m,2011-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[142.81,-38.525000000000006]}",Otway,2007-08-11 00:00:00,"Pasture, grazed",2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_0000000000000000000c_0,65,30,5,0.15m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[132.3706,-15.258800000000006]}",DryRiver,2009-10-25 15:00:00,Woodland savanna,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_0000000000000000001f_0,63,4,33,0.1m,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[147.0875,-42.09055600000001]}",SilverPlains,2019-12-05 10:00:00,Species rich highland grassland/sedgeland,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_0000000000000000000d_0,49,42,9,0.2-0.6m,2013-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[148.4746,-23.85872]}",Emerald,2011-06-10 00:30:00,Mallee and crop,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_00000000000000000002_0,75,14,11,0.3m,2022-06-20 23:30:00,"{""type"":""Point"",""coordinates"":[147.32083300000002,-36.862222]}",AlpinePeatland,2017-04-12 18:30:00,,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
2008_03_05_0000000000000000001c_0,90,1,9,0.4m,2017-07-12 17:30:00,"{""type"":""Point"",""coordinates"":[145.576,-36.656]}",RiggsCreek,2011-01-01 00:30:00,Pasture,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
