system:index,Percent_NonTree_Vegetation,Percent_NonVegetated,Percent_Tree_Cover,canopy height,end,geometry,site,start,vegetation,year,.geo
2000_03_05_00000000000000000006_0,60,6,34,12.0m,2019-11-11 13:30:00,"{""type"":""Point"",""coordinates"":[116.237,-33.42]}",Collie,2017-08-04 00:30:00,Dry schlerophyll woodland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000000e_0,72,25,3,12m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[146.189138,-19.887285]}",Fletcherview,2022-01-22 22:00:00,Semi-arid savanna,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000003_0,67,7,26,13.0m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.93855900000003,-32.477093]}",Boyagin,2017-10-20 13:00:00,Dry schlerophyll woodland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000000_0,77,16,7,16.4m,2009-05-24 06:00:00,"{""type"":""Point"",""coordinates"":[131.1178,-13.076900000000002]}",AdelaideRiver,2007-10-17 11:30:00,Woody Savanna,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000000a_0,86,6,8,16.4m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.3881,-14.159200000000002]}",DalyUncleared,2008-01-01 00:00:00,Woody Savanna,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000013_0,66,13,21,16m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[131.15005,-12.4952]}",HowardSprings,2002-01-01 06:00:00,Woody savanna,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000014_0,78,5,17,16m,2025-01-17 00:00:00,"{""type"":""Point"",""coordinates"":[130.7945459,-13.179041779999999]}",Litchfield,2015-06-23 13:00:00,Woody savanna,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000012_0,67,25,8,18,2024-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[120.65416666666667,-30.191400000000005]}",GreatWesternWoodlands,2013-01-01 15:30:00,sparse eucalypt woodland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000001b_0,80,19,1,1m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[116.966827,-32.506102]}",Ridgefield,2015-03-29 05:00:00,Wheat,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000028_0,20,0,80,23 m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[144.094046,-37.422506]}",WombatStateForest,2024-05-08 14:30:00,dry sclerophyll eucalypt forest,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000008_0,55,2,43,24 m,2025-01-01 00:00:00,"{""type"":""Point"",""coordinates"":[150.723611,-33.615278]}",CumberlandPlain,2014-01-01 00:30:00,Dry sclerophyll forest,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000005_0,21,2,77,25m,2018-11-02 12:00:00,"{""type"":""Point"",""coordinates"":[145.446922,-16.103219]}",CapeTribulation,2010-01-01 00:00:00,lowland complex mesophyll vine forest,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000007_0,24,3,73,26m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.42715,-16.238189000000002]}",CowBay,2009-01-01 09:00:00,lowland complex mesophyll vine forest,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000027_0,53,6,41,28.0m,2023-12-31 23:30:00,"{""type"":""Point"",""coordinates"":[145.0294,-36.6732]}",Whroo,2011-12-01 13:30:00,Dry schlerophyll woodland,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_0000000000000000001d_0,18,4,78,28m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[145.6301375,-17.11746943]}",RobsonCreek,2013-08-01 17:30:00,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest",2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000004_0,72,24,4,3m,2025-02-02 00:00:00,"{""type"":""Point"",""coordinates"":[140.5877,-34.002700000000004]}",CalperumChowilla,2010-07-30 11:00:00,Mallee,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05_00000000000000000023_0,28,0,72,40 m,2022-12-03 18:00:00,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
