siteID,original_site,lat,lon,lai_fpar_file_path
AU-Rgf,Ridgefield,-32.5061,116.96683,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Ridgefield_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Cum,CumberlandPlain,-33.61528,150.72361,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/CumberlandPlain_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Ctr,CapeTribulation,-16.10322,145.44692,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/CapeTribulation_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Cow,CowBay,-16.23819,145.42716,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/CowBay_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Whr,Whroo,-36.6732,145.0294,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Whroo_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Rob,RobsonCreek,-17.11747,145.63014,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/RobsonCreek_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Tum,Tumbarumba,-35.6566,148.15159,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Tumbarumba_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Lox,Loxton,-34.47035,140.65512,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Loxton_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-War,Warra,-43.09502,146.65452,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Warra_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-ASM,AliceSpringsMulga,-22.283,133.24899,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/AliceSpringsMulga_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-TTE,TiTreeEast,-22.287,133.64,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/TiTreeEast_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-Gin,Gingin,-31.37635,115.71377,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/Gingin_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
AU-RDF,RedDirtMelonFarm,-14.56364,132.47757,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_daily_with_smoothed_curve_2003_2025/RedDirtMelonFarm_MODIS_DAILY_with_smoothed_curve_mean_win31_2003_2025.csv
