doy,LAI_stat,FPAR_stat,LAI_smooth,FPAR_smooth,start_used,end_used
1,1.5415767466406853,0.5053306664917918,1.5579042276096973,0.5166106491685034,2003-01-01,2025-12-31
2,1.5416898063573257,0.5081897501475506,1.558064516129032,0.5167724403927069,2003-01-01,2025-12-31
3,1.5418028660739658,0.5110488338033096,1.5579301075268817,0.5169103553062179,2003-01-01,2025-12-31
4,1.541915925790606,0.5139079174590684,1.5574250317237694,0.5170962732919254,2003-01-01,2025-12-31
5,1.5420289855072464,0.5167670011148272,1.5569339517012977,0.5173391663818403,2003-01-01,2025-12-31
6,1.5568840579710146,0.5185298216276477,1.5564568674594663,0.5176390345759622,2003-01-01,2025-12-31
7,1.5717391304347825,0.5202926421404682,1.5555438023736845,0.5179549709084196,2003-01-01,2025-12-31
8,1.5865942028985507,0.5220554626532887,1.554430180206725,0.5182764564451308,2003-01-01,2025-12-31
9,1.6014492753623188,0.5238182831661092,1.5524166866372542,0.5185020029517184,2003-01-01,2025-12-31
10,1.6021739130434782,0.5251463210702341,1.549503321665272,0.5186316104281825,2003-01-01,2025-12-31
11,1.6028985507246376,0.526474358974359,1.5447316935189224,0.518385358350914,2003-01-01,2025-12-31
12,1.603623188405797,0.5278023968784838,1.5388381275838996,0.5178964865516099,2003-01-01,2025-12-31
13,1.6043478260869564,0.5291304347826087,1.5323793481862125,0.5173275320413344,2003-01-01,2025-12-31
14,1.5820652173913046,0.525,1.5253553553258612,0.5166784948200878,2003-01-01,2025-12-31
15,1.559782608695652,0.5208695652173914,1.519659557137488,0.5164870092964722,2003-01-01,2025-12-31
16,1.5374999999999999,0.5167391304347826,1.51466666142848,0.5166776897762377,2003-01-01,2025-12-31
17,1.5152173913043478,0.5126086956521739,1.509328281102062,0.517124012362524,2003-01-01,2025-12-31
18,1.5182971014492754,0.5146920289855073,1.5045706389147524,0.5177621176639823,2003-01-01,2025-12-31
19,1.521376811594203,0.5167753623188406,1.499014585731441,0.5180064516834173,2003-01-01,2025-12-31
20,1.5244565217391304,0.5188586956521739,1.4926601215521271,0.5178570144208292,2003-01-01,2025-12-31
21,1.527536231884058,0.5209420289855072,1.4855072463768118,0.5173138058762182,2003-01-01,2025-12-31
22,1.5166666666666666,0.5217572463768115,1.4770804114071996,0.5164121893767756,2003-01-01,2025-12-31
23,1.5057971014492753,0.522572463768116,1.4681656147732585,0.5155480859136188,2003-01-01,2025-12-31
24,1.4949275362318841,0.5233876811594202,1.4587628564749882,0.514721495486748,2003-01-01,2025-12-31
25,1.4840579710144928,0.5242028985507247,1.4488721365123889,0.5139324180961629,2003-01-01,2025-12-31
26,1.4434782608695653,0.5163405797101449,1.4389492753623188,0.5131948789873053,2003-01-01,2025-12-31
27,1.4028985507246376,0.5084782608695653,1.4293215287517531,0.5124779057431582,2003-01-01,2025-12-31
28,1.3623188405797102,0.5006159420289855,1.419988896680692,0.5117814983637214,2003-01-01,2025-12-31
29,1.3217391304347827,0.4927536231884058,1.410951379149135,0.5111056568489949,2003-01-01,2025-12-31
30,1.3398550724637681,0.5015579710144927,1.4029511453950443,0.5106264609630669,2003-01-01,2025-12-31
31,1.3579710144927537,0.5103623188405797,1.3955820476858345,0.510320827489481,2003-01-01,2025-12-31
32,1.3760869565217393,0.5191666666666667,1.3888440860215054,0.5101887564282376,2003-01-01,2025-12-31
33,1.3942028985507249,0.5279710144927536,1.3827372604020571,0.5102302477793361,2003-01-01,2025-12-31
34,1.3695652173913044,0.5186231884057971,1.3764434315100516,0.5102448574100046,2003-01-01,2025-12-31
35,1.344927536231884,0.5092753623188405,1.3697814399251989,0.5101437587657783,2003-01-01,2025-12-31
36,1.3202898550724638,0.4999275362318841,1.3627512856474993,0.5099269518466573,2003-01-01,2025-12-31
37,1.2956521739130435,0.4905797101449275,1.355352968676952,0.5095944366526414,2003-01-01,2025-12-31
38,1.2953804347826088,0.49350543478260867,1.348036465638149,0.5091871201496025,2003-01-01,2025-12-31
39,1.295108695652174,0.49643115942028987,1.340296283309958,0.508508941093969,2003-01-01,2025-12-31
40,1.2948369565217392,0.49935688405797096,1.33213242169238,0.507559899485741,2003-01-01,2025-12-31
41,1.2945652173913045,0.5022826086956522,1.323544880785414,0.5063399953249181,2003-01-01,2025-12-31
42,1.3044384057971015,0.5042481884057971,1.3154920523609166,0.5051291491351099,2003-01-01,2025-12-31
43,1.3143115942028987,0.506213768115942,1.3089147966339412,0.5042791608228143,2003-01-01,2025-12-31
44,1.3241847826086957,0.508179347826087,1.303813113604488,0.5037900303880318,2003-01-01,2025-12-31
45,1.3340579710144929,0.5101449275362319,1.3000672043010755,0.5036614656381487,2003-01-01,2025-12-31
46,1.331340579710145,0.5113949275362318,1.295947288452548,0.5032804464703132,2003-01-01,2025-12-31
47,1.328623188405797,0.5126449275362319,1.2910793595137913,0.5025674964936887,2003-01-01,2025-12-31
48,1.3259057971014492,0.5138949275362319,1.285463417484806,0.5015226157082749,2003-01-01,2025-12-31
49,1.3231884057971015,0.5151449275362319,1.2790994623655916,0.5001458041140721,2003-01-01,2025-12-31
50,1.3148550724637682,0.5136413043478261,1.273314048620851,0.49905241935483885,2003-01-01,2025-12-31
51,1.306521739130435,0.5121376811594203,1.2684578073866295,0.49823720196353455,2003-01-01,2025-12-31
52,1.2981884057971016,0.5106340579710145,1.2645307386629268,0.4977001519401591,2003-01-01,2025-12-31
53,1.289855072463768,0.5091304347826088,1.2615328424497432,0.4974412692847127,2003-01-01,2025-12-31
54,1.2658514492753625,0.5015489130434783,1.2584209911173447,0.4971370967741937,2003-01-01,2025-12-31
55,1.2418478260869565,0.4939673913043478,1.2547931276297337,0.49682900888265563,2003-01-01,2025-12-31
56,1.2178442028985508,0.4863858695652174,1.25064925198691,0.4965170056100983,2003-01-01,2025-12-31
57,1.193840579710145,0.47880434782608694,1.2459893641888733,0.49620108695652193,2003-01-01,2025-12-31
58,1.1990036231884058,0.4821286231884058,1.240854371201496,0.4959490416082283,2003-01-01,2025-12-31
59,1.2041666666666668,0.48545289855072465,1.234525479195886,0.4956188639551194,2003-01-01,2025-12-31
60,1.2056159420289856,0.488768115942029,1.2270026881720428,0.49521055399719516,2003-01-01,2025-12-31
61,1.2121376811594202,0.48974637681159416,1.2182859981299674,0.4947241117344556,2003-01-01,2025-12-31
62,1.2070652173913046,0.4882608695652174,1.2090445301542778,0.4941791140719965,2003-01-01,2025-12-31
63,1.2019927536231885,0.48677536231884055,1.1994886629266013,0.4936503623188408,2003-01-01,2025-12-31
64,1.1969202898550726,0.4852898550724638,1.189618396446938,0.49313785647498853,2003-01-01,2025-12-31
65,1.190217391304348,0.4847282608695652,1.1794337307152876,0.49264159654043965,2003-01-01,2025-12-31
66,1.1943840579710145,0.48400362318840584,1.168870383356709,0.49217677653108943,2003-01-01,2025-12-31
67,1.1985507246376812,0.48327898550724635,1.1586564983637213,0.49179809490416093,2003-01-01,2025-12-31
68,1.2027173913043478,0.48255434782608697,1.1487920757363255,0.49150555165965415,2003-01-01,2025-12-31
69,1.1989130434782609,0.48407608695652177,1.139277115474521,0.4912991467975691,2003-01-01,2025-12-31
70,1.182644927536232,0.4868804347826087,1.1304593267882188,0.4913503973819543,2003-01-01,2025-12-31
71,1.166376811594203,0.4896847826086957,1.1221583850931678,0.4916194817337876,2003-01-01,2025-12-31
72,1.150108695652174,0.4924891304347826,1.1143742903893676,0.49210639985306903,2003-01-01,2025-12-31
73,1.1452536231884058,0.4964347826086956,1.1071070426768184,0.4928111517397984,2003-01-01,2025-12-31
74,1.1181159420289857,0.49597826086956526,1.0993631870700595,0.4933661590863555,2003-01-01,2025-12-31
75,1.0909782608695653,0.4955217391304348,1.0912116810258463,0.4937282942630068,2003-01-01,2025-12-31
76,1.063840579710145,0.4950652173913043,1.0827723235156612,0.49389784946236565,2003-01-01,2025-12-31
77,1.0448550724637682,0.4945,1.073881486676017,0.4939502103786817,2003-01-01,2025-12-31
78,1.032391304347826,0.49625362318840577,1.0650709610632472,0.4940016696720765,2003-01-01,2025-12-31
79,1.0199275362318843,0.49800724637681165,1.0559901155413076,0.49399831780538306,2003-01-01,2025-12-31
80,1.007463768115942,0.4997608695652174,1.0466389501101985,0.49394015477860154,2003-01-01,2025-12-31
81,0.9873913043478261,0.499231884057971,1.0370700594403257,0.49379737694516807,2003-01-01,2025-12-31
82,0.9898913043478261,0.5003985507246377,1.0269503439524477,0.4935927753289255,2003-01-01,2025-12-31
83,0.9923913043478262,0.5015652173913043,1.016706404862085,0.49346835553997204,2003-01-01,2025-12-31
84,0.9948913043478261,0.502731884057971,1.006338242169238,0.4934241175783077,2003-01-01,2025-12-31
85,0.9925,0.5031376811594203,0.9961029853736726,0.4933875976758165,2003-01-01,2025-12-31
