siteID,original_site,lat,lon,climate,pft_0,pft,IGBP,soil_tex_id,Soil_TEX,swc_i,Zm,flux_data_starts,flux_data_ends,nc_file_path,lai_fpar_file_path,frac_V,frac_T,frac_H,frac_B,frac_sum,MAXSMC,DRYSMC,BB,SATPSI,SATDK
AU-DaP,DalyPasture,-14.0633,131.3181,Tr,H,G-C3,GRA,2,LOAMY SAND,Sws,-0.05,2008-01-01 00:00:00,2013-09-08 13:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DalyPasture_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DalyPasture_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.8883333333333333,0.1,0.7883333333333333,0.1116666666666666,1.0,0.4238093162,0.06411427293,6.26524846,0.001111002038,1.85e-05
AU-Fog,FoggDam,-12.5452,131.30721,Tr,H,G-C3,GRA,7,SANDY CLAY LOAM,Sws,-0.1,2006-02-07 00:00:00,2008-10-31 17:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/FoggDam_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/FoggDam_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.8433333333333334,0.1866666666666666,0.6566666666666667,0.1566666666666666,1.0,0.4515147492,0.2254976003,9.52127031,0.2058835719,1.02e-06
AU-Stp,SturtPlains,-17.1507,133.35021,Ar,H,G-C4,GRA,7,SANDY CLAY LOAM,Sws,-0.05,2008-08-28 11:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/SturtPlains_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/SturtPlains_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.629375,0.025,0.604375,0.370625,1.0,0.4101172871,0.1846577621,9.05592074,0.1112569425,1.43e-06
AU-Wal,WallabyCreek,-37.4259,145.1878,Te,BL,BF-te,EBF,12,CLAY,Sws_40cma,-0.4,2005-08-25 12:30:00,2008-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/WallabyCreek_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/WallabyCreek_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9925,0.7825,0.21,0.0075,1.0,0.4582577163,0.2666187738,10.43588723,0.5368474684,2.78e-07
AU-Col,Collie,-33.42,116.237,Te,M,BF-te,WSA,2,LOAMY SAND,Sws_30cm,-0.3,2017-08-04 00:30:00,2019-11-11 13:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Collie_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Collie_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9366666666666666,0.3766666666666666,0.56,0.0633333333333333,1.0,0.425369719,0.078913,6.808115,0.001598,1.52e-05
AU-Boy,Boyagin,-32.47709,116.93856,Te,M,BF-te,GRA,3,SANDY LOAM,"Sws_40cm_N, Sws_40cm_S",-0.4,2017-10-20 13:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Boyagin_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Boyagin_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.9442857142857144,0.3271428571428572,0.6171428571428572,0.0557142857142857,1.0,0.395569903,0.113153,7.965859,0.007156,6.28e-06
AU-Adr,AdelaideRiver,-13.0769,131.1178,Tr,M,BF-tr,GRA,3,SANDY LOAM,Sws,-0.05,2007-10-17 11:30:00,2009-05-24 06:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/AdelaideRiver_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/AdelaideRiver_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.99,0.0566666666666666,0.9333333333333332,0.01,0.9999999999999998,0.448938854,0.112742,6.639675,0.015853,1.02e-05
AU-DaS,DalyUncleared,-14.1592,131.38811,Tr,M,BF-tr,OSH,1,SAND,Sws,-0.05,2008-01-01 00:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/DalyUncleared_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/DalyUncleared_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.87875,0.113125,0.765625,0.12125,1.0,0.429960889,0.048356,5.794343,0.000485,2.47e-05
AU-How,HowardSprings,-12.4952,131.15005,Tr,M,BF-tr,SAV,7,SANDY CLAY LOAM,"Sws_40cm , Sws_40cma",-0.4,2002-01-01 06:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/HowardSprings_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/HowardSprings_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.921818181818182,0.1722727272727272,0.7495454545454545,0.0781818181818181,1.0,0.413057482,0.200386,9.564117,0.151382,1.01e-06
AU-Lit,Litchfield,-13.17904,130.79454,Tr,M,BF-tr,SAV,7,SANDY CLAY LOAM,"Sws_20cma, Sws_20cmb",-0.2,2015-06-23 13:00:00,2025-01-17 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Litchfield_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Litchfield_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.92,0.1888888888888888,0.7311111111111112,0.08,1.0,0.405305772,0.144619,8.795027,0.017712,3.93e-06
AU-Gre,GreatWesternWoodlands,-30.1914,120.65416,Ar,M,BF-te,SAV,3,SANDY LOAM,Sws,-0.1,2013-01-01 15:30:00,2024-12-31 23:30:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/GreatWesternWoodlands_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/GreatWesternWoodlands_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.739090909090909,0.0772727272727272,0.6618181818181819,0.2609090909090909,1.0,0.410669565,0.105526,7.719324,0.004257,8.67e-06
AU-Rgf,Ridgefield,-32.5061,116.96683,Te,H,G-C3,CRO,2,LOAMY SAND,Sws,-0.05,2015-03-29 05:00:00,2025-02-02 00:00:00,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/L6/Ridgefield_L6.nc,/home/sanjays/et97_scratch2/oldscratch/Ozflux_data_full/OWUS_australia/sanjay data creation/modis_lai_fpar_data/modis_climatology_curves_2003_2025/Ridgefield_MODIS_DOY_climatology_mean_win31_2003_2025.csv,0.8222222222222222,0.0411111111111111,0.7811111111111111,0.1777777777777777,1.0,0.484388897,0.095905,7.14965,0.001432,2.08e-05
