system:index,canopy height,end,first,geometry,site,start,vegetation,.geo
0000000000000000001d,28m,2025-02-02 00:00:00,0.8799999952316284,"{""type"":""Point"",""coordinates"":[145.6301375,-17.11746943]}",RobsonCreek,2013-08-01 17:30:00,"Regional Ecosystem (RE) 7.3.36a, complex mesophyll vine forest","{""type"":""Point"",""coordinates"":[145.63013803257323,-17.11746781003749]}"
00000000000000000004,3m,2025-02-02 00:00:00,0.27000001072883606,"{""type"":""Point"",""coordinates"":[140.5877,-34.002700000000004]}",CalperumChowilla,2010-07-30 11:00:00,Mallee,"{""type"":""Point"",""coordinates"":[140.58770629751766,-34.00270117811046]}"
00000000000000000023,40 m,2022-12-03 18:00:00,1.059999942779541,"{""type"":""Point"",""coordinates"":[148.1516,-35.6566]}",Tumbarumba,2002-01-07 16:00:00,wet sclerophyll forest,"{""type"":""Point"",""coordinates"":[148.1515946915579,-35.65659959523775]}"
00000000000000000016,5.5m (Stevens et al. 2012),2009-06-09 10:30:00,0.4399999976158142,"{""type"":""Point"",""coordinates"":[140.65512,-34.47035]}",Loxton,2008-08-19 17:00:00,Almond orchard,"{""type"":""Point"",""coordinates"":[140.65511898724364,-34.470349401090594]}"
00000000000000000025,55m,2021-09-21 12:00:00,0.6700000166893005,"{""type"":""Point"",""coordinates"":[146.65452,-43.09502]}",Warra,2013-03-05 15:00:00,Eucalyptus obliqua tall forest,"{""type"":""Point"",""coordinates"":[146.65451839937924,-43.09502226293717]}"
00000000000000000001,6.5m,2025-01-28 10:00:00,0.33000001311302185,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",AliceSpringsMulga,2010-09-03 00:00:00,Canopy + three types of understorey (vegetation1-4),"{""type"":""Point"",""coordinates"":[133.24899358847435,-22.28300194787553]}"
00000000000000000022,6.5m,2022-01-17 23:30:00,0.33000001311302185,"{""type"":""Point"",""coordinates"":[133.249,-22.282999999999998]}",TiTreeEast,2012-07-18 00:00:00,Canopy + three types of understorey (vegetation1-4),"{""type"":""Point"",""coordinates"":[133.24899358847435,-22.28300194787553]}"
00000000000000000011,6.8m,2024-12-31 23:30:00,0.36000001430511475,"{""type"":""Point"",""coordinates"":[115.71377000000003,-31.376351000000007]}",Gingin,2011-10-13 14:00:00,Banksia woodland,"{""type"":""Point"",""coordinates"":[115.71376597804269,-31.37635308504558]}"
00000000000000000020,8m,2025-01-17 00:00:00,1.4299999475479126,"{""type"":""Point"",""coordinates"":[148.43585,-36.375649]}",SnowGum,2023-12-27 15:30:00,Sub-alpine woodland,"{""type"":""Point"",""coordinates"":[148.43585346551293,-36.37564747651011]}"
0000000000000000001a,variable,2013-07-21 23:30:00,0.20000000298023224,"{""type"":""Point"",""coordinates"":[132.477567,-14.563638999999997]}",RedDirtMelonFarm,2011-09-23 09:00:00,Woody savannah then cleared,"{""type"":""Point"",""coordinates"":[132.4775691062282,-14.5636380774048]}"
